pair_id;participant_id;role;song_rank;artist;track_title;Track URI;Danceability;Energy;Valence;Tempo;Acousticness;Loudness;Instrumentalness;Speechiness;Liveness;Key;Mode;Time Signature
ams789;ams789_child;child;song_3;Deftones;sextape;spotify:track:1EryAkZ0VHstC6haIxVBiE;367.0;634.0;0.0964;89.981;0.000824;-6.475;0.0759;27.0;116.0;5.0;1.0;4.0
ams789;ams789_parent;parent;song_3;Metallica;Nothing Else Matters - Live;;273.0;609.0;0.0997;144.808;0.000586;-7.856;123.0;0.0348;966.0;3.0;0.0;3.0
bojack123;bojack123_child;child;song_3;Miguel, J. Cole;All I Want Is You (feat. J. Cole);;776.0;603.0;921.0;96.888;0.0728;-5.696;6.25e-05;0.0343;111.0;5.0;1.0;4.0
bojack123;bojack123_parent;parent;song_3;TOTO;I will remember;spotify:track:1MzFmVDSl7Vm00f3Hw4Xfx;653.0;506.0;447.0;98.391;146.0;-8.755;9.43e-05;0.0267;0.0845;10.0;1.0;4.0
Bonte123;Bonte123_child;child;song_3;Red Hot Chili Peppers;Under the Bridge;;559.0;345.0;458.0;84.581;0.0576;-13.496;0.000105;0.0459;141.0;4.0;1.0;4.0
Bonte123;Bonte123_parent;parent;song_3;Wilco;Jesus, Etc.;;756.0;0.28;695.0;109.413;616.0;-14.27;0.00033;0.0296;414.0;5.0;1.0;4.0
ds13;ds13_child;child;song_3;KATSEYE;Gabriela;spotify:track:1xOqGUkyxGQRdCvGpvWKmL;653.0;754.0;623.0;145.884;184.0;-4.579;0.0;0.0692;369.0;7.0;1.0;4.0
ds13;ds13_parent;parent;song_3;VCT;Mơ;;556.0;413.0;191.0;113.086;908.0;-7.261;3.38e-06;0.0791;0.0924;9.0;1.0;4.0
ibiza90;ibiza90_child;child;song_3;Beach House;Wishes;spotify:track:2WwQVXzsO3AuJGCc7Da5hO;309.0;782.0;0.21;74.738;164.0;-7.301;0.07;0.0323;247.0;7.0;1.0;4.0
ibiza90;ibiza90_parent;parent;song_3;Muse;Plug in baby;spotify:track:2UKARCqDrhkYDoVR4FN5Wi;408.0;965.0;349.0;136.018;6.94e-06;-4.232;0.000402;0.05;0.11;2.0;1.0;4.0
